k_refl,freq_mhz,R_ohm,X_ohm,swr_50
1.047,415.0,34.62,-150.11,15.088
1.047,415.5,34.56,-147.4,14.643
1.047,416.0,34.51,-144.68,14.2
1.047,416.5,34.47,-141.95,13.759
1.047,417.0,34.44,-139.2,13.319
1.047,417.5,34.42,-136.45,12.883
1.047,418.0,34.41,-133.69,12.451
1.047,418.5,34.41,-130.91,12.02
1.047,419.0,34.42,-128.13,11.594
1.047,419.5,34.45,-125.33,11.171
1.047,420.0,34.49,-122.53,10.753
1.047,420.5,34.55,-119.72,10.34
1.047,421.0,34.62,-116.89,9.93
1.047,421.5,34.7,-114.06,9.527
1.047,422.0,34.81,-111.22,9.13
1.047,422.5,34.93,-108.38,8.74
1.047,423.0,35.08,-105.52,8.356
1.047,423.5,35.24,-102.66,7.98
1.047,424.0,35.42,-99.8,7.612
1.047,424.5,35.63,-96.93,7.252
1.047,425.0,35.85,-94.06,6.902
1.047,425.5,36.1,-91.19,6.561
1.047,426.0,36.38,-88.32,6.23
1.047,426.5,36.68,-85.45,5.909
1.047,427.0,37.0,-82.58,5.599
1.047,427.5,37.35,-79.72,5.3
1.047,428.0,37.72,-76.86,5.013
1.047,428.5,38.12,-74.02,4.738
1.047,429.0,38.54,-71.18,4.474
1.047,429.5,38.99,-68.36,4.223
1.047,430.0,39.46,-65.55,3.983
1.047,430.5,39.96,-62.77,3.756
1.047,431.0,40.48,-60.0,3.541
1.047,431.5,41.02,-57.26,3.339
1.047,432.0,41.58,-54.55,3.148
1.047,432.5,42.16,-51.86,2.968
1.047,433.0,42.75,-49.21,2.8
1.047,433.5,43.36,-46.59,2.644
1.047,434.0,43.98,-44.02,2.497
1.047,434.5,44.6,-41.48,2.361
1.047,435.0,45.22,-38.98,2.235
1.047,435.5,45.84,-36.53,2.118
1.047,436.0,46.46,-34.13,2.009
1.047,436.5,47.06,-31.77,1.909
1.047,437.0,47.64,-29.46,1.816
1.047,437.5,48.2,-27.21,1.731
1.047,438.0,48.72,-24.99,1.652
1.047,438.5,49.21,-22.83,1.579
1.047,439.0,49.65,-20.71,1.511
1.047,439.5,50.04,-18.63,1.448
1.047,440.0,50.37,-16.59,1.39
1.047,440.5,50.64,-14.59,1.335
1.047,441.0,50.83,-12.62,1.284
1.047,441.5,50.94,-10.66,1.236
1.047,442.0,50.97,-8.72,1.19
1.047,442.5,50.91,-6.79,1.145
1.047,443.0,50.75,-4.86,1.103
1.047,443.5,50.5,-2.92,1.061
1.047,444.0,50.14,-0.96,1.02
1.047,444.5,49.69,1.03,1.022
1.047,445.0,49.13,3.06,1.066
1.047,445.5,48.47,5.15,1.115
1.047,446.0,47.71,7.3,1.169
1.047,446.5,46.85,9.52,1.23
1.047,447.0,45.9,11.82,1.297
1.047,447.5,44.86,14.21,1.374
1.047,448.0,43.74,16.71,1.461
1.047,448.5,42.53,19.32,1.561
1.047,449.0,41.27,22.05,1.676
1.047,449.5,39.93,24.91,1.809
1.047,450.0,38.55,27.9,1.962
1.047,450.5,37.12,31.03,2.141
1.047,451.0,35.66,34.31,2.35
1.047,451.5,34.17,37.73,2.595
1.047,452.0,32.66,41.31,2.882
1.047,452.5,31.15,45.04,3.22
1.047,453.0,29.64,48.93,3.619
1.047,453.5,28.15,52.98,4.089
1.047,454.0,26.68,57.19,4.645
1.047,454.5,25.23,61.56,5.301
1.047,455.0,23.84,66.09,6.075
1.068,415.0,33.41,-139.74,13.783
1.068,415.5,33.57,-136.81,13.237
1.068,416.0,33.75,-133.87,12.697
1.068,416.5,33.96,-130.92,12.164
1.068,417.0,34.19,-127.96,11.638
1.068,417.5,34.45,-125.0,11.122
1.068,418.0,34.73,-122.04,10.616
1.068,418.5,35.05,-119.07,10.119
1.068,419.0,35.39,-116.1,9.635
1.068,419.5,35.76,-113.12,9.161
1.068,420.0,36.16,-110.15,8.701
1.068,420.5,36.59,-107.18,8.255
1.068,421.0,37.06,-104.21,7.823
1.068,421.5,37.56,-101.25,7.406
1.068,422.0,38.09,-98.3,7.006
1.068,422.5,38.66,-95.36,6.62
1.068,423.0,39.26,-92.43,6.252
1.068,423.5,39.89,-89.52,5.9
1.068,424.0,40.56,-86.62,5.564
1.068,424.5,41.26,-83.75,5.246
1.068,425.0,41.99,-80.89,4.945
1.068,425.5,42.76,-78.07,4.661
1.068,426.0,43.56,-75.27,4.393
1.068,426.5,44.39,-72.51,4.142
1.068,427.0,45.24,-69.78,3.906
1.068,427.5,46.13,-67.09,3.687
1.068,428.0,47.03,-64.44,3.483
1.068,428.5,47.96,-61.84,3.293
1.068,429.0,48.91,-59.29,3.117
1.068,429.5,49.87,-56.78,2.955
1.068,430.0,50.84,-54.33,2.805
1.068,430.5,51.82,-51.94,2.668
1.068,431.0,52.8,-49.6,2.541
1.068,431.5,53.77,-47.32,2.426
1.068,432.0,54.74,-45.11,2.321
1.068,432.5,55.7,-42.95,2.225
1.068,433.0,56.63,-40.86,2.137
1.068,433.5,57.53,-38.83,2.058
1.068,434.0,58.41,-36.85,1.986
1.068,434.5,59.24,-34.94,1.92
1.068,435.0,60.03,-33.09,1.861
1.068,435.5,60.77,-31.29,1.807
1.068,436.0,61.44,-29.55,1.758
1.068,436.5,62.05,-27.85,1.713
1.068,437.0,62.59,-26.2,1.672
1.068,437.5,63.05,-24.58,1.634
1.068,438.0,63.44,-23.0,1.598
1.068,438.5,63.73,-21.44,1.564
1.068,439.0,63.93,-19.9,1.532
1.068,439.5,64.03,-18.37,1.5
1.068,440.0,64.04,-16.85,1.47
1.068,440.5,63.94,-15.32,1.439
1.068,441.0,63.74,-13.78,1.409
1.068,441.5,63.43,-12.21,1.378
1.068,442.0,63.02,-10.61,1.347
1.068,442.5,62.5,-8.97,1.316
1.068,443.0,61.88,-7.28,1.284
1.068,443.5,61.16,-5.54,1.252
1.068,444.0,60.33,-3.72,1.221
1.068,444.5,59.41,-1.83,1.192
1.068,445.0,58.4,0.14,1.168
1.068,445.5,57.3,2.21,1.153
1.068,446.0,56.11,4.38,1.152
1.068,446.5,54.85,6.66,1.17
1.068,447.0,53.51,9.05,1.206
1.068,447.5,52.11,11.56,1.258
1.068,448.0,50.66,14.2,1.325
1.068,448.5,49.15,16.97,1.407
1.068,449.0,47.59,19.88,1.503
1.068,449.5,46.01,22.93,1.617
1.068,450.0,44.39,26.13,1.751
1.068,450.5,42.75,29.48,1.907
1.068,451.0,41.1,32.98,2.089
1.068,451.5,39.45,36.63,2.302
1.068,452.0,37.81,40.45,2.552
1.068,452.5,36.17,44.42,2.845
1.068,453.0,34.56,48.55,3.188
1.068,453.5,32.98,52.84,3.591
1.068,454.0,31.44,57.3,4.062
1.068,454.5,29.94,61.92,4.613
1.068,455.0,28.5,66.71,5.256
1.09,415.0,37.52,-125.99,10.449
1.09,415.5,38.17,-122.97,9.896
1.09,416.0,38.85,-119.96,9.364
1.09,416.5,39.58,-116.97,8.856
1.09,417.0,40.34,-114.0,8.369
1.09,417.5,41.15,-111.04,7.905
1.09,418.0,41.99,-108.11,7.464
1.09,418.5,42.87,-105.2,7.045
1.09,419.0,43.78,-102.32,6.65
1.09,419.5,44.73,-99.47,6.278
1.09,420.0,45.72,-96.66,5.927
1.09,420.5,46.73,-93.89,5.598
1.09,421.0,47.78,-91.15,5.291
1.09,421.5,48.86,-88.46,5.003
1.09,422.0,49.97,-85.81,4.736
1.09,422.5,51.1,-83.21,4.488
1.09,423.0,52.25,-80.66,4.258
1.09,423.5,53.42,-78.17,4.045
1.09,424.0,54.61,-75.73,3.848
1.09,424.5,55.81,-73.35,3.668
1.09,425.0,57.01,-71.03,3.501
1.09,425.5,58.22,-68.77,3.349
1.09,426.0,59.43,-66.57,3.21
1.09,426.5,60.63,-64.43,3.082
1.09,427.0,61.82,-62.36,2.966
1.09,427.5,62.99,-60.35,2.86
1.09,428.0,64.15,-58.41,2.764
1.09,428.5,65.28,-56.52,2.677
1.09,429.0,66.37,-54.71,2.598
1.09,429.5,67.43,-52.95,2.526
1.09,430.0,68.45,-51.25,2.46
1.09,430.5,69.43,-49.6,2.401
1.09,431.0,70.35,-48.01,2.347
1.09,431.5,71.22,-46.47,2.298
1.09,432.0,72.02,-44.98,2.253
1.09,432.5,72.76,-43.53,2.211
1.09,433.0,73.44,-42.12,2.173
1.09,433.5,74.03,-40.75,2.137
1.09,434.0,74.56,-39.41,2.103
1.09,434.5,75.0,-38.09,2.071
1.09,435.0,75.36,-36.79,2.039
1.09,435.5,75.63,-35.5,2.009
1.09,436.0,75.81,-34.22,1.98
1.09,436.5,75.91,-32.94,1.95
1.09,437.0,75.91,-31.66,1.92
1.09,437.5,75.83,-30.37,1.89
1.09,438.0,75.65,-29.06,1.859
1.09,438.5,75.37,-27.73,1.828
1.09,439.0,75.01,-26.36,1.795
1.09,439.5,74.55,-24.96,1.761
1.09,440.0,74.0,-23.52,1.726
1.09,440.5,73.36,-22.03,1.689
1.09,441.0,72.63,-20.49,1.651
1.09,441.5,71.81,-18.88,1.611
1.09,442.0,70.92,-17.21,1.57
1.09,442.5,69.94,-15.46,1.527
1.09,443.0,68.88,-13.64,1.483
1.09,443.5,67.74,-11.72,1.438
1.09,444.0,66.53,-9.72,1.392
1.09,444.5,65.26,-7.63,1.347
1.09,445.0,63.92,-5.43,1.302
1.09,445.5,62.52,-3.12,1.259
1.09,446.0,61.07,-0.71,1.222
1.09,446.5,59.57,1.82,1.195
1.09,447.0,58.02,4.48,1.186
1.09,447.5,56.44,7.25,1.2
1.09,448.0,54.81,10.15,1.239
1.09,448.5,53.17,13.19,1.3
1.09,449.0,51.49,16.36,1.38
1.09,449.5,49.81,19.68,1.48
1.09,450.0,48.11,23.13,1.598
1.09,450.5,46.41,26.73,1.738
1.09,451.0,44.72,30.48,1.902
1.09,451.5,43.04,34.38,2.094
1.09,452.0,41.37,38.43,2.319
1.09,452.5,39.73,42.64,2.581
1.09,453.0,38.12,47.0,2.887
1.09,453.5,36.56,51.53,3.243
1.09,454.0,35.04,56.21,3.658
1.09,454.5,33.58,61.06,4.139
1.09,455.0,32.19,66.07,4.696
1.11,415.0,48.72,-114.82,7.275
1.11,415.5,49.89,-112.12,6.895
1.11,416.0,51.08,-109.46,6.539
1.11,416.5,52.3,-106.85,6.207
1.11,417.0,53.53,-104.29,5.898
1.11,417.5,54.79,-101.79,5.612
1.11,418.0,56.06,-99.34,5.346
1.11,418.5,57.35,-96.94,5.1
1.11,419.0,58.65,-94.6,4.872
1.11,419.5,59.95,-92.32,4.662
1.11,420.0,61.25,-90.1,4.468
1.11,420.5,62.55,-87.94,4.29
1.11,421.0,63.85,-85.84,4.126
1.11,421.5,65.14,-83.79,3.975
1.11,422.0,66.41,-81.81,3.836
1.11,422.5,67.67,-79.89,3.709
1.11,423.0,68.91,-78.02,3.592
1.11,423.5,70.11,-76.22,3.486
1.11,424.0,71.3,-74.47,3.388
1.11,424.5,72.45,-72.77,3.298
1.11,425.0,73.56,-71.13,3.216
1.11,425.5,74.63,-69.54,3.14
1.11,426.0,75.66,-68.0,3.071
1.11,426.5,76.64,-66.5,3.007
1.11,427.0,77.57,-65.05,2.948
1.11,427.5,78.45,-63.63,2.893
1.11,428.0,79.27,-62.26,2.842
1.11,428.5,80.04,-60.92,2.795
1.11,429.0,80.74,-59.6,2.751
1.11,429.5,81.38,-58.32,2.709
1.11,430.0,81.95,-57.06,2.669
1.11,430.5,82.46,-55.82,2.631
1.11,431.0,82.9,-54.6,2.595
1.11,431.5,83.27,-53.39,2.56
1.11,432.0,83.56,-52.18,2.525
1.11,432.5,83.79,-50.98,2.492
1.11,433.0,83.94,-49.78,2.458
1.11,433.5,84.01,-48.58,2.425
1.11,434.0,84.01,-47.37,2.391
1.11,434.5,83.93,-46.15,2.358
1.11,435.0,83.78,-44.91,2.323
1.11,435.5,83.56,-43.65,2.289
1.11,436.0,83.25,-42.36,2.253
1.11,436.5,82.88,-41.05,2.216
1.11,437.0,82.43,-39.7,2.178
1.11,437.5,81.9,-38.31,2.14
1.11,438.0,81.3,-36.88,2.099
1.11,438.5,80.63,-35.41,2.058
1.11,439.0,79.89,-33.89,2.015
1.11,439.5,79.08,-32.31,1.971
1.11,440.0,78.2,-30.68,1.925
1.11,440.5,77.26,-28.98,1.877
1.11,441.0,76.25,-27.22,1.828
1.11,441.5,75.17,-25.39,1.778
1.11,442.0,74.04,-23.48,1.726
1.11,442.5,72.84,-21.5,1.672
1.11,443.0,71.59,-19.43,1.617
1.11,443.5,70.29,-17.27,1.562
1.11,444.0,68.94,-15.02,1.505
1.11,444.5,67.53,-12.68,1.448
1.11,445.0,66.08,-10.24,1.391
1.11,445.5,64.59,-7.7,1.335
1.11,446.0,63.06,-5.04,1.282
1.11,446.5,61.5,-2.28,1.235
1.11,447.0,59.91,0.6,1.199
1.11,447.5,58.29,3.59,1.182
1.11,448.0,56.65,6.71,1.194
1.11,448.5,54.99,9.95,1.236
1.11,449.0,53.32,13.33,1.304
1.11,449.5,51.65,16.83,1.393
1.11,450.0,49.97,20.48,1.502
1.11,450.5,48.3,24.26,1.632
1.11,451.0,46.64,28.19,1.786
1.11,451.5,44.99,32.26,1.965
1.11,452.0,43.38,36.48,2.174
1.11,452.5,41.79,40.85,2.417
1.11,453.0,40.24,45.38,2.701
1.11,453.5,38.73,50.06,3.029
1.11,454.0,37.29,54.9,3.41
1.11,454.5,35.9,59.9,3.85
1.11,455.0,34.59,65.06,4.356
